Kilometro_num,Provincia,Cantón,region,Rural_urbano,Calzada_vertical,Calzada_horizontal,hora_grupo,fin_semana,estacion,calzada_tipo,estado_via,clima_grupo,tipo_colision,severidad_tipo_LLM,cobertura_emergencias_canton
0.0,san josé,santa ana,central,urbana,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,interseccion,9,10
86.0,puntarenas,esparza,pacífico central,urbana,plano,recta,12:00-17:59,1,invierno,pavimentada,buena,bueno,interseccion,9,6
4.0,limón,pococí,huetar caribe,urbana,pendiente,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,6
70.0,alajuela,san carlos,huetar norte,urbana,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,interseccion,9,7
0.0,san josé,san josé,central,urbana,plano,recta,00:00-05:59,1,invierno,pavimentada,buena,bueno,lateral,10,10
6.0,puntarenas,coto brus,brunca,rural,pendiente,curva,18:00-23:59,1,invierno,pavimentada,buena,bueno,frontal,9,2
17.0,san josé,moravia,central,rural,plano,curva,12:00-17:59,0,invierno,pavimentada,buena,lluvia,alcance,7,10
6.0,cartago,la unión,central,urbana,pendiente,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,frontal,9,9
2.0,puntarenas,puntarenas,pacífico central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,lluvia,alcance,7,7
0.0,guanacaste,nicoya,chorotega,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,interseccion,9,6
0.0,san josé,pérez zeledón,brunca,urbana,pendiente,recta,12:00-17:59,1,invierno,pavimentada,buena,bueno,frontal,9,7
45.0,cartago,turrialba,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,lluvia,interseccion,9,7
11.0,heredia,sarapiquí,huetar norte,rural,plano,recta,12:00-17:59,0,invierno,no_pavimentada,riesgo,bueno,lateral,10,2
5.0,san josé,mora,central,rural,plano,curva,06:00-11:59,1,invierno,pavimentada,buena,bueno,lateral,10,7
2.0,san josé,pérez zeledón,brunca,urbana,pendiente,recta,18:00-23:59,0,invierno,pavimentada,buena,lluvia,frontal,9,7
1.0,san josé,desamparados,central,urbana,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,lateral,10,10
76.0,guanacaste,nicoya,chorotega,urbana,pendiente,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,frontal,9,6
76.0,alajuela,san carlos,huetar norte,rural,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,alcance,7,7
0.0,puntarenas,puntarenas,pacífico central,rural,plano,recta,00:00-05:59,1,invierno,pavimentada,buena,bueno,interseccion,9,7
36.0,guanacaste,nicoya,chorotega,rural,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,frontal,9,6
0.0,san josé,san josé,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,interseccion,9,10
2.0,cartago,cartago,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,interseccion,9,10
1.0,puntarenas,puntarenas,pacífico central,urbana,plano,recta,00:00-05:59,0,verano,pavimentada,buena,bueno,interseccion,9,7
11.0,guanacaste,la cruz,chorotega,rural,plano,recta,00:00-05:59,1,invierno,pavimentada,buena,bueno,frontal,9,3
50.0,alajuela,palmares,central,urbana,pendiente,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,alcance,7,6
27.0,puntarenas,garabito,pacífico central,rural,plano,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,6
3.0,san josé,alajuelita,central,urbana,pendiente,recta,06:00-11:59,0,invierno,pavimentada,riesgo,bueno,lateral,10,10
4.0,guanacaste,santa cruz,chorotega,rural,plano,recta,12:00-17:59,1,verano,pavimentada,buena,bueno,lateral,10,6
11.0,alajuela,grecia,central,rural,plano,recta,12:00-17:59,1,invierno,pavimentada,buena,lluvia,lateral,10,6
0.0,san josé,pérez zeledón,brunca,urbana,pendiente,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,lateral,10,7
2.0,limón,pococí,huetar caribe,urbana,plano,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,interseccion,9,6
1.0,heredia,heredia,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
4.0,san josé,desamparados,central,urbana,plano,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,frontal,9,10
61.0,alajuela,san carlos,huetar norte,urbana,pendiente,curva,06:00-11:59,0,invierno,pavimentada,buena,bueno,frontal,9,7
130.0,alajuela,guatuso,huetar norte,rural,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,frontal,9,2
3.0,san josé,desamparados,central,urbana,plano,curva,06:00-11:59,0,verano,pavimentada,buena,bueno,interseccion,9,10
169.0,guanacaste,cañas,chorotega,rural,pendiente,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,7
0.0,alajuela,san ramón,central,urbana,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,8
185.0,puntarenas,buenos aires,brunca,urbana,pendiente,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,frontal,9,5
0.0,san josé,san josé,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
72.0,alajuela,san carlos,huetar norte,rural,pendiente,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,interseccion,9,7
2.0,guanacaste,liberia,chorotega,urbana,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,interseccion,9,9
36.0,cartago,el guarco,central,rural,pendiente,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,frontal,9,9
74.0,alajuela,san ramón,central,rural,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,alcance,7,8
0.0,san josé,santa ana,central,urbana,plano,recta,12:00-17:59,1,verano,pavimentada,buena,bueno,interseccion,9,10
80.0,alajuela,san carlos,huetar norte,urbana,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,alcance,7,7
12.0,san josé,montes de oca,central,urbana,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,lluvia,lateral,10,10
12.0,limón,pococí,huetar caribe,rural,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,alcance,7,6
7.0,heredia,san pablo,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,9
5.0,guanacaste,carrillo,chorotega,rural,plano,curva,18:00-23:59,1,invierno,pavimentada,buena,bueno,frontal,9,6
2.0,san josé,san josé,central,urbana,pendiente,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,frontal,9,10
16.0,san josé,goicoechea,central,rural,pendiente,curva,12:00-17:59,0,verano,pavimentada,riesgo,bueno,alcance,7,10
28.0,puntarenas,coto brus,brunca,rural,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,2
24.0,guanacaste,carrillo,chorotega,urbana,plano,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,frontal,9,6
5.0,guanacaste,liberia,chorotega,rural,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,alcance,7,9
60.0,limón,pococí,huetar caribe,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,lluvia,lateral,10,6
49.0,limón,talamanca,huetar caribe,rural,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,lluvia,alcance,7,1
4.0,alajuela,alajuela,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,lateral,10,10
5.0,puntarenas,buenos aires,brunca,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,alcance,7,5
13.0,heredia,san rafael,central,urbana,pendiente,curva,06:00-11:59,0,verano,pavimentada,riesgo,bueno,lateral,10,9
12.0,heredia,barva,central,urbana,pendiente,recta,00:00-05:59,1,invierno,pavimentada,buena,bueno,frontal,9,9
0.0,san josé,escazú,central,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,lluvia,lateral,10,10
32.0,guanacaste,hojancha,chorotega,rural,pendiente,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,lateral,10,3
30.0,puntarenas,garabito,pacífico central,urbana,plano,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,interseccion,9,6
0.0,alajuela,alajuela,central,urbana,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,10
43.0,guanacaste,tilarán,chorotega,rural,pendiente,curva,06:00-11:59,0,verano,pavimentada,riesgo,bueno,objeto_fijo,9,4
22.0,alajuela,alajuela,central,urbana,plano,recta,06:00-11:59,1,invierno,pavimentada,buena,bueno,alcance,7,10
11.0,san josé,san josé,central,urbana,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,frontal,9,10
2.0,alajuela,orotina,pacífico central,rural,pendiente,curva,06:00-11:59,0,invierno,pavimentada,buena,bueno,alcance,7,5
62.0,puntarenas,parrita,pacífico central,rural,plano,curva,00:00-05:59,1,invierno,pavimentada,buena,bueno,frontal,9,4
1.0,heredia,heredia,central,urbana,plano,recta,12:00-17:59,1,invierno,pavimentada,buena,bueno,alcance,7,10
157.0,puntarenas,osa,brunca,rural,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,lateral,10,2
19.0,limón,pococí,huetar caribe,urbana,plano,recta,00:00-05:59,0,verano,pavimentada,buena,lluvia,lateral,10,6
103.0,puntarenas,montes de oro,pacífico central,rural,pendiente,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,alcance,7,4
137.0,san josé,pérez zeledón,brunca,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,interseccion,9,7
16.0,heredia,sarapiquí,huetar norte,rural,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,frontal,9,2
9.0,puntarenas,puntarenas,pacífico central,rural,plano,curva,12:00-17:59,1,verano,pavimentada,buena,bueno,frontal,9,7
0.0,san josé,desamparados,central,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
4.0,puntarenas,montes de oro,pacífico central,rural,pendiente,curva,18:00-23:59,0,verano,pavimentada,buena,bueno,lateral,10,4
5.0,san josé,vázquez de coronado,central,urbana,plano,curva,18:00-23:59,1,verano,pavimentada,buena,bueno,frontal,9,9
30.0,san josé,turrubares,central,rural,pendiente,curva,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,1
27.0,san josé,pérez zeledón,brunca,rural,pendiente,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,frontal,9,7
17.0,alajuela,alajuela,central,urbana,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,lateral,10,10
50.0,guanacaste,santa cruz,chorotega,rural,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,alcance,7,6
2.0,heredia,barva,central,urbana,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,interseccion,9,9
88.0,puntarenas,esparza,pacífico central,urbana,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,lluvia,lateral,10,6
25.0,san josé,león cortés,central,urbana,pendiente,recta,12:00-17:59,0,verano,no_pavimentada,riesgo,bueno,frontal,9,2
144.0,limón,limón,huetar caribe,urbana,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,interseccion,9,9
0.0,san josé,desamparados,central,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,frontal,9,10
162.0,guanacaste,nicoya,chorotega,rural,plano,curva,18:00-23:59,0,verano,pavimentada,buena,bueno,interseccion,9,6
